视频ID,评论ID,用户昵称,用户ID,评论内容,发布时间,点赞数,回复数量,用户头像
7572787044804545823,7580581310499881758,AB🫶🏾,12186825,❤️❤️❤️,2025-12-06 11:27:30,1,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/f39e2e50515cb213549bf22eeeabbf92~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=f8220748&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=MwnaRwcAxK%2BXUQm7ZMO%2BjuTv8q0%3D
7572787044804545823,7579428912729981709,BlackPrincess,6961184764565521414,😁😁😁,2025-12-03 08:55:52,1,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/b25dd454325bde4ba8c3a85a6a46becf~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=65aa3a20&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=L60R75Kvz3xve2iqB%2FLqWv6kfUw%3D
7572787044804545823,7572840837086135071,mila,6868828722968757254,😍😍😍,2025-11-15 14:51:13,3,0,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/06df8a5e51d4cfb30711b139e10b9253~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=9c344b72&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=%2B4WcpLWHIiKwpA8nmPq3zQ79hWE%3D
7572787044804545823,7578212160346882846,bratlette,6810252289907885062,💕💕💕,2025-11-30 02:13:54,1,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/54aa88acd14ef6e2016922302ffc9ae4~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=51621bd9&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=3m52Jx4kK7tSCBJJ1zVzJ4B%2FCDA%3D
7572787044804545823,7572840837086135071,mila,6868828722968757254,😍😍😍,2025-11-15 14:51:13,3,0,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/06df8a5e51d4cfb30711b139e10b9253~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=e685021f&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=hSqBNgNom%2F7XLbiAuxZgh9osPgs%3D
7572787044804545823,7578742830774059831,holottagigi,6709688165747639302,😍,2025-12-01 12:33:15,1,0,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/257f6b13c2405e335353ace3063892b7~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=8f3c3f54&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=b%2B9BPX6rIJ2qO%2Bzfw8tXaX1Xc%2F0%3D
7572787044804545823,7578806507338318622,Mosthated.shiesty,6803088274279187461,🥺🥺🥺,2025-12-01 16:42:11,1,0,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2be1b2b007630d5245f14513ed6d9677~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=a88c89dd&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=efXfdehzcwohWWzrnze%2FbX%2BA%2BSA%3D
7572787044804545823,7578212160346882846,bratlette,6810252289907885062,💕💕💕,2025-11-30 02:13:54,1,0,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/54aa88acd14ef6e2016922302ffc9ae4~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=498dfdd5&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=yxgyCu6jEY4ZP4MqApxtka0fLGw%3D
7572787044804545823,7579438534563332895,VictoreaNotVictoria,6786011538202887173,❤❤❤,2025-12-03 09:32:51,0,0,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7349865802876600366~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=122e9133&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=mA2mormrqatWP%2Fe94piPxB5cuRI%3D
7572787044804545823,7579286835856802590,Chantay 🤍,6811558920533902341,🥰🥰🥰,2025-12-02 23:44:38,0,0,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/67bafa6db83697353d700ea4efadb287~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=eec8ab72&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=Sv16qDzHzy4JAsjlbEf1dKCCkU8%3D
7572787044804545823,7578961704605745934,Ary 🫧,6797211046107055109,sis your content is tea 😩,2025-12-02 02:42:41,1,1,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d27249ba0b68ad45cbf548125b2a77e9~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=fadc63cd&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=rmFknN%2BEz6Nmex9w0jSWHRmtiKw%3D
7572787044804545823,7577174338244281119,virgo vixen💋,6778180521611002886,is the wig big?,2025-11-27 07:06:32,1,1,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/df1dfe281fdf675e7dad5e437efa4955~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=f043e383&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=s%2FDTs1WHXOnKSx0uSsfqHyW7ux8%3D
7572787044804545823,7573095301683970871,genesis aymari ☆,6634740027387871237,tea affff,2025-11-16 07:18:11,2,1,https://p16-common-ipv6-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/f508b73ce32043d9304223b61831e090~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=2c1108a8&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=E4CHq90yxenfnL9YeXHmZBgYTfU%3D
7542607962058149175,7571828221047603999,Miss Chocolate 🫦,7109283196831532078,I fear you recieved regular layers😭😭💀…not dramatic..this is dramatic layers !! [photo],2025-11-12 21:21:31,132,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/695462a5ec58ebbae186a87d07250134~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=11d2d7e3&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=F9c4tAVYJZ%2Ft5WtE3vu2CZO3Auk%3D
7542607962058149175,7564328109063848717,tiffanymij,7405411889910629419,I had this wig & it was literally the best wig,2025-10-23 16:18:16,120,2,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/bbaafe641ff23204707e7656b6cd3cb7~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=3f7bc52e&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=Jb31SEv2OSkVvv4Sh%2F8As2Lp370%3D
7542607962058149175,7550372657134093111,Kris💋,6857816111526708230,I getting this wig I hope yall not lying cause that’s not very girls girls treatment,2025-09-16 01:42:34,92,23,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/add723ce344efb1bc4bb52c74790d939~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=399f78a6&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=J4wjMenxUpgmjPmQB9WyVpGlE%2FM%3D
7542607962058149175,7542740522579346206,m,7455479176192558123,Your real hair tho😍😍,2025-08-26 12:06:04,4137,2,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/b7e6b69fe45c88604a4968b5e04f25b2~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=c14de295&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=vfCXndfLrnnYgD3wgKSh%2BdVSexI%3D
7542607962058149175,7545197903406269215,🫟,6532079160892866561,Ayeeee I did this exact same style 2 years ago for my birthday !!!!!! Happy birthday boo💕💕💕 [photo],2025-09-02 03:01:45,34,4,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1bb6ce9c1279a245e15d0bb82576dc13~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=36aa2a56&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=ygFXXkAL29FnX%2FfSDpsQDStqY2g%3D
7542607962058149175,7542723006449533727,miyahB🧛🏽‍♀️,7141968821208122411,how long did it hold up for you??,2025-08-26 10:57:58,231,6,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/1649fdf5e959e2c5aabcd40ca650fb93~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=660ae175&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=JaDxQAekP9DvgpujWL6b%2BLfpdGo%3D
7542607962058149175,7543287792659923743,brucial,7003525747289867270,stylist ain’t nunnnn to play with,2025-08-27 23:29:40,884,2,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/711e6202fa1001bb38e59e2b0afaa4fb~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=5d130546&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=9Ns6TWTWo5LupjDT8ZAQkv6lGoQ%3D
7542607962058149175,7544176954469401357,dkeprettydan,7323000879249245227,"It’s full and beautiful I colored the wig and it’s very soft true to length
I bought it for my birthday",2025-08-30 09:00:12,20,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/90b90a22b20587c2bb58919135ecbb20~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=c3617476&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=EGCZ54fqzMOcK8xhY931EVfZMV0%3D
7542607962058149175,7545170016657982239,STL Hottie ❣️,108424291758596096,Forgot a wig how I get my real hair like yours,2025-09-02 01:13:47,42,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/bf810ea64d46f11f62304719d091e65f~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=6ac28326&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=yd2J08a1Ev9zFxKnh2qPL4VWfXE%3D
7542607962058149175,7545224502935388959,_itssmuffin_,6660011593470967813,My toxic trait is thinking I can go home and do this,2025-09-02 04:45:05,16,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/7c608f14789163bf3920f1232517b801~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=5e6b32eb&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=XT8%2BjtG8TLrNwToJyGuYaECWLUs%3D
7542607962058149175,7543242935633625886,Jasmine Jaye 🎀,7063158041144558638,Teaaaaaa,2025-08-27 20:35:54,9,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/de4e8312e1a0a32999551d7a716cad63~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=f5d7f51d&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=5qyLzOPsJoFoDwFK0g2OyAnQ1tM%3D
7542607962058149175,7549177871060796191,Tiana’s beauty & blogs 🌸,7148194855025411115,okay but can u drop a editing tutorial??,2025-09-12 20:26:14,17,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/fc416f4904e3ad7c99cab110f8dbff19~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=e74479fc&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=YXMBdsAM8EWZj%2FOTQJJkRtOLyko%3D
7542607962058149175,7542692774991151885,shadowlant,7372018964623606826,The 613 is beautiful 😍😍😍,2025-08-26 09:00:27,14,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7728737abb4ab8b30f57eaa481a800c1~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=7299142d&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=3EI3sRaislKu4sLludqodULENMg%3D
7542607962058149175,7543611404029444894,icy,6861233989672371205,strawberry lemonadeeeeee😍😍😍😍,2025-08-28 20:25:23,15,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/bcab4b686bbb3916460b04c085e35bed~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=886f5b57&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=rZr9G1UzY2jqx7UgjB4QkBOAsOQ%3D
7542607962058149175,7551034069674181431,lostfilesofkayg,6985708145108878342,Oh the Pinterest girll😭,2025-09-17 20:29:33,9,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/886d5a5c4f6feb2fbd843733a4f82e06~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=1c204bf8&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=uJ6lwhXoOmC6CrcrxTrugkqx3QQ%3D
7542607962058149175,7547881864490271543,lol,7429869166060651566,Ayyyy look at our birthday hair 😍😍😍,2025-09-09 08:36:51,1,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d5805c4f1c2733382cb170580ccd51ea~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=52236bb3&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=xM6VuWwec%2BQISYiLmAbVwux9OMk%3D
7542607962058149175,7543226044679209759,Ms.Mamaaa,6511078974796496905,Editing Too Fyeeeee🔥,2025-08-27 19:30:30,29,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/42aba4ae83e8ce1b08677b9c4c0d9f28~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=3379ffe1&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=Hl6XyRAcPwmBKIm%2FAPhv%2BHJznFQ%3D
7542607962058149175,7543264794099467021,TizzyThingz ☆,7351789933581075502,Hair look sooo good 😍😍😍😍,2025-08-27 22:00:28,11,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/afd87f24de7d37c5b628b18e5acccabd~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=e2e63fc8&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=Pl7hg8t7rsza7H6VYi41h5vfyyI%3D
7542607962058149175,7542878162986189623,bebabandz,7348853964834374702,I LOVE LOVE LOVE YOUR HAIR 😍😍😍,2025-08-26 21:00:36,382,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7348941671746404394~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=c38b5df7&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=uu2YB47tFZ3YO4QRAWx85%2FvTfGs%3D
7542607962058149175,7543959389821027086,Mya Marie💕,6786447755570250757,What app did you use to edit?,2025-08-29 18:56:00,13,2,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2a2cf851d5b3f6f1e462889028bac878~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=8aba99e7&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=Xnx9VV1hzFyOkFzvIz%2BpK%2BdBDFo%3D
7542607962058149175,7543959389821027086,Mya Marie💕,6786447755570250757,What app did you use to edit?,2025-08-29 18:56:00,13,2,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2a2cf851d5b3f6f1e462889028bac878~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=8aba99e7&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=Xnx9VV1hzFyOkFzvIz%2BpK%2BdBDFo%3D
